C0042023,Pollakiuria,21.23%
C0242350,Erectile dysfunction,21.16%
C0013428,Dysuria,21.09%
C0000731,Abdominal distension,21.02%
C0030312,Pancytopenia,20.88%
C0700590,Sweating increased,20.59%
C0002962,Angina pectoris,20.52%
C0014457,Eosinophilia,20.52%
C0232487,Abdominal discomfort,20.44%
C0006266,Bronchospasm,20.09%
C0021400,Influenza,19.94%
C0027441,Nasopharyngitis,19.87%
C0151786,Muscular weakness,19.66%
C0004096,Asthma,19.37%
C0151904,Aspartate aminotransferase increased,19.37%
C0151905,Alanine aminotransferase increased,19.23%
C0026821,Cramp muscle,19.01%
C0151908,Dry skin,18.79%
C0232492,Abdominal pain upper,18.72%
C0011168,Dysphagia,18.65%
C0017152,Gastritis,18.58%
C0006145,Breast disorder,18.15%
C0014518,Toxic epidermal necrolysis,18.15%
C0020651,Orthostatic hypotension,17.93%
C0020621,Hypokalaemia,17.86%
C0030196,Pain in extremity,17.86%
C0235431,Blood creatinine increased,17.50%
C0340865,Anaphylactoid reaction,17.50%
C0151766,Liver function test abnormal,17.36%
C0085633,Mood swings,17.22%
C0004134,Ataxia,17.07%
C0011175,Dehydration,17.07%
C0542571,Face oedema,17.07%
C0080274,Urinary retention,16.79%
C0018790,Cardiac arrest,16.64%
C0855242,Disturbance in sexual arousal,16.64%
C0149931,Migraine,16.50%
C0022107,Irritability,16.21%
C0233472,Affect lability,16.21%
C0038454,Cerebrovascular accident,16.00%
C0033975,Psychotic disorder,15.78%
C0236075,Menopausal symptoms,15.78%
C0003864,Arthritis,15.71%
C0023380,Lethargy,15.71%
C0029408,Osteoarthritis,15.71%
C0232461,Increased appetite,15.71%
C0020615,Hypoglycaemia,15.64%
C0034150,Purpura,15.49%
C0600142,Hot flush,15.49%
C0851354,Ear and labyrinth disorders,15.49%
C0018801,Cardiac failure,15.42%
C0012569,Diplopia,15.35%
C0017181,Gastrointestinal haemorrhage,15.35%
C0020625,Hyponatraemia,15.28%
C0039971,Thirst,15.06%
C0085932,Dermatitis bullous,15.06%
C0011124,Libido decreased,14.92%
C0022660,Renal failure acute,14.92%
C0004238,Atrial fibrillation,14.78%
C0011606,Dermatitis exfoliative,14.78%
C1565489,Renal impairment,14.78%
C0040046,Thrombophlebitis,14.71%
C3263723,Injury,14.71%
C0002622,Amnesia,14.56%
C0018802,Cardiac failure congestive,14.56%
C0027424,Nasal congestion,14.56%
C0038999,Swelling,14.49%
C0011849,Diabetes mellitus,14.42%
C0085605,Hepatic failure,14.42%
C1368065,Vascular purpura,14.35%
C0151827,Eye pain,14.28%
C0547030,Visual disturbance,14.28%
C0002878,Haemolytic anaemia,14.20%
C0013595,Eczema,14.06%
C0851578,Sleep disorder,13.92%
C0011053,Deafness,13.85%
C0017160,Gastroenteritis,13.77%
C0032617,Polyuria,13.70%
C0151735,Injection site reaction,13.49%
C0852911,Blood alkaline phosphatase increased,13.34%
C0243026,Sepsis,13.27%
C0349506,Photosensitivity,13.20%
C0497156,Lymphadenopathy,13.20%
C0086565,Hepatic function abnormal,13.06%
C0013491,Ecchymosis,12.91%
C0013456,Ear pain,12.70%
C0018418,Gynaecomastia,12.63%
C0027651,Neoplasm,12.63%
C0233407,Disorientation,12.55%
C0034063,Pulmonary oedema,12.48%
C1306341,Mental disability,12.48%
C0026826,Hypertonia,12.41%
C0009421,Coma,12.27%
C0014868,Oesophagitis,12.20%
C1167965,Urine output increased,12.20%
C0031542,Phlebitis,12.12%
C0034065,Pulmonary embolism,12.12%
C0149745,Mouth ulceration,12.12%
C0423791,Rash maculo-papular,12.12%
C0424295,Hyperkinesia,12.12%
C3665386,Abnormal vision,12.12%
C0043144,Wheezing,12.05%
C0235146,Euphoric mood,12.05%
C0442874,Neuropathy,11.91%
C0006840,Candida infection,11.76%
C0232849,Bladder pain,11.76%
C0404521,Vaginal infection,11.76%
C0026858,Musculoskeletal pain,11.69%
C0314719,Dry eye,11.69%
C0268000,Fluid retention,11.62%
C0521839,Influenza like illness,11.62%
C0151539,Blood urea increased,11.48%
C0002874,Aplastic anaemia,11.41%
C0011616,Dermatitis contact,11.33%
C0023218,Cramps of lower extremities,11.33%
C0042024,Urinary incontinence,11.26%
C0085636,Photophobia,11.26%
C0220870,Lightheadedness,11.19%
C0237849,Skin exfoliation,11.19%
C0020461,Hyperkalaemia,10.98%
C0021368,Inflammation,10.98%
C0025222,Melaena,10.98%
C0151825,Bone pain,10.98%
C0014724,Eructation,10.90%
C0010692,Cystitis,10.83%
C0042267,Vaginal inflammation,10.83%
C0007859,Neck pain,10.69%
C0042384,Vasculitis,10.69%
C0403632,Cystitis noninfective,10.69%
C0009319,Colitis,10.62%
C0234458,Abnormal dreams,10.62%
C0037036,Salivary hypersecretion,10.55%
C0235416,Blood uric acid increased,10.55%
C0497247,Blood pressure increased,10.55%
C0023518,Leukocytosis,10.47%
C0028084,Nightmare,10.47%
C0151763,Hepatocellular injury,10.47%
C0151849,Phosphatase alkaline increased,10.47%
C0231530,Muscle twitching,10.47%
C2363731,Oropharyngeal pain,10.47%
C0019521,Hiccups,10.33%
C0574067,Cough increased,10.33%
C0042514,Ventricular tachycardia,10.26%
C0549249,Depressed level of consciousness,10.26%
C1384666,Hearing impaired,10.26%
C0086543,Cataract,10.19%
C0575081,Gait disturbance,10.19%
C0151828,Injection site pain,10.11%
C0152227,Lacrimation increased,10.11%
C1145670,Respiratory failure,10.04%
C0017675,Glossitis,9.97%
C0009938,Contusion,9.83%
C0020433,Hyperbilirubinaemia,9.83%
C0020443,Hypercholesterolaemia,9.83%
C0151578,Creatinine increased,9.83%
C0267596,Rectal haemorrhage,9.83%
C0520966,Coordination abnormal,9.83%
C0013390,Dysmenorrhoea,9.76%
C0017168,Gastrooesophageal reflux disease,9.76%
C0018099,Gout,9.76%
C0948586,Protein urine present,9.76%
C0030232,Pallor,9.68%
C0151907,Skin discolouration,9.68%
C0235710,Chest discomfort,9.68%
C0235996,Hepatic enzyme increased,9.68%
C0311468,Blood bilirubin increased,9.68%
C0740394,Hyperuricaemia,9.68%
C0028734,Nocturia,9.61%
C0948525,Musculoskeletal stiffness,9.61%
C0022408,Arthropathy,9.54%
C0033687,Proteinuria,9.54%
C0004245,Atrioventricular block,9.47%
C0006826,Neoplasm malignant,9.47%
C0035410,Rhabdomyolysis,9.47%
C0687133,Drug interaction,9.47%
C0019348,Herpes simplex,9.40%
C0020598,Hypocalcaemia,9.40%
C0041582,Ulcer,9.40%
C0042401,Vasodilation,9.40%
C1142412,Vasodilation procedure,9.40%
C0022354,Jaundice cholestatic,9.33%
C0028961,Oliguria,9.33%
C0702166,Acne,9.33%
C0013362,Dysarthria,9.25%
C0024902,Breast pain,9.25%
C0042769,Viral infection,9.25%
C0007642,Cellulitis,9.18%
C0013384,Dyskinesia,9.18%
C0014130,Endocrine disorder,9.11%
C0233414,Disturbance in attention,9.11%
C0151636,Ventricular extrasystoles,9.04%
C0235266,Eye irritation,9.04%
C0151736,Accidental injury,8.97%
C0005940,Bone disorder,8.82%
C0233632,Thinking abnormal,8.82%
C0160390,Liver injury,8.75%
C1527344,Dysphonia,8.75%
C0002453,Amenorrhoea,8.68%
C0018939,Blood disorder,8.61%
C0031256,Petechiae,8.61%
C0424790,Rigors,8.61%
C0677500,Stinging,8.61%
C0001807,Aggression,8.54%
C0234233,Tenderness,8.54%
C0278134,Sensory loss,8.54%
C0007222,Cardiovascular disorder,8.46%
C0017979,Glycosuria,8.46%
C0037822,Speech disorder,8.46%
C1260880,Rhinorrhoea,8.46%
C0003578,Apnoea,8.32%
C0151662,Gamma-glutamyltransferase increased,8.32%
C2979982,Vaginal haemorrhage,8.25%
C0019079,Haemoptysis,8.18%
C0019360,Herpes zoster,8.18%
C2939147,Feeling hot,8.18%
C0028643,Numbness,8.11%
C0032227,Pleural effusion,8.11%
C0026946,Fungal infection,8.03%
C0151744,Myocardial ischaemia,8.03%
C0392525,Nephrolithiasis,8.03%
C0235378,Hepatotoxicity,7.96%
C0000833,Abscess,7.89%
C0011206,Delirium,7.89%
C0017601,Glaucoma,7.89%
C0040053,Thrombosis,7.89%
C0041349,Tubulointerstitial nephritis,7.82%
C0340464,Extrasystoles,7.82%
C2364111,Ageusia,7.82%
C0025323,Menorrhagia,7.75%
C0037299,Skin ulcer,7.75%
C0233794,Memory impairment,7.75%
C0085641,Rash pustular,7.68%
C0015376,Extravasation,7.60%
C0026848,Myopathy,7.60%
C0026961,Mydriasis,7.60%
C0011615,Dermatitis atopic,7.53%
C0020453,Hyperaesthesia,7.53%
C2363730,Oropharyngeal discomfort,7.53%
C0002418,Amblyopia,7.46%
C0005779,Coagulopathy,7.46%
C0008370,Cholestasis,7.46%
C0017574,Gingivitis,7.46%
C0162119,Haemoglobin decreased,7.46%
C0234913,Rash erythematous,7.46%
C0242429,Throat sore,7.39%
C0042510,Ventricular fibrillation,7.32%
C0005758,Blister,7.25%
C0015371,Extrapyramidal disorder,7.25%
C0392171,Influenza-like symptoms,7.25%
C0018926,Haematemesis,7.17%
C0023066,Laryngospasm,7.17%
C0029882,Otitis media,7.17%
C0549373,Laryngeal pain,7.17%
C0000729,Abdominal cramps,7.10%
C0001925,Albuminuria,7.10%
C0018944,Haematoma,7.10%
C0025874,Metrorrhagia,7.10%
C0027813,Neuritis,7.10%
C0085612,Ventricular arrhythmia,7.10%
C0085624,Burning sensation,7.10%
C0858635,Pharyngolaryngeal pain,7.10%
C2242996,Tingling sensation,7.10%
C0010520,Cyanosis,7.03%
C0019209,Hepatomegaly,7.03%
C0020437,Hypercalcaemia,7.03%
C0027540,Necrosis,7.03%
C0036454,Scotoma,7.03%
C0040409,Tongue disorder,7.03%
C0030920,Peptic ulcer,6.96%
C0085628,Stupor,6.96%
C0011253,Delusion,6.89%
C0023067,Laryngitis,6.89%
C0028738,Nystagmus,6.89%
C0206062,Interstitial lung disease,6.89%
C1258215,Ileus,6.89%
C0338831,Mania,6.81%
C0853034,Blood creatine phosphokinase increased,6.81%
C0027707,Nephritis interstitial,6.74%
C0149871,Deep vein thrombosis,6.74%
C0232459,Digestion impaired,6.74%
C0438717,Transaminases increased,6.74%
C0522224,Paralysis,6.74%
C0853692,Blood triglycerides increased,6.74%
C0013922,Embolism,6.67%
C0027796,Neuralgia,6.67%
C0332575,Redness,6.67%
C0006849,Oral candidiasis,6.60%
C0023895,Liver disorder,6.60%
C0029134,Optic neuritis,6.60%
C0010709,Cyst,6.53%
C0020578,Hyperventilation,6.53%
C0025345,Menstrual disorder,6.53%
C0036508,Seborrhoeic dermatitis,6.46%
C0040479,Torsade de pointes,6.46%
C0424000,Suicidal ideation,6.46%
C0855775,Pulmonary function test decreased,6.46%
C0016436,Folliculitis,6.38%
C0018834,Heartburn,6.38%
C0020473,Hyperlipidaemia,6.38%
C0021843,Intestinal obstruction,6.38%
C0023052,Laryngeal oedema,6.38%
C0235063,Respiratory depression,6.38%
C0011551,Depersonalisation,6.31%
C0020676,Hypothyroidism,6.31%
C0037383,Sneezing,6.31%
C2225524,Breast enlargement,6.31%
C0040460,Toothache,6.24%
C0151773,Bone marrow depression,6.24%
C0233471,Flat affect,6.24%
C0235309,Upset stomach,6.24%
C0700225,Serum creatinine increased,6.24%
C1456784,Paranoia,6.24%
C1510410,Parosmia,6.24%
C0008350,Cholelithiasis,6.17%
C0040435,Tooth disorder,6.17%
C0085632,Apathy,6.17%
C0003537,Aphasia,6.10%
C0019572,Hirsutism,6.10%
C0022568,Keratitis,6.10%
C0022650,Calculus of kidney,6.10%
C0242184,Hypoxia,6.10%
C0476273,Respiratory distress,6.10%
C0027339,Nail disorder,6.03%
C0151723,Hypomagnesaemia,6.03%
C0227791,Vaginal discharge,6.03%
C0522055,Electrocardiogram abnormal,6.03%
C0019112,Haemorrhoids,5.95%
C0029456,Osteoporosis,5.95%
C0086439,Hypokinesia,5.95%
C0151878,Electrocardiogram QT prolonged,5.95%
C0235660,Galactorrhoea,5.95%
C0746883,Febrile neutropenia,5.95%
C0032584,Polyp,5.88%
C0039240,Supraventricular tachycardia,5.88%
C0206277,Fatal outcomes,5.88%
C0302295,Eruption,5.88%
C0423153,Lacrimation,5.88%
C0947912,Myasthenia,5.88%
C0021177,Libido increased,5.81%
C0033860,Psoriasis,5.81%
C0836924,Thrombocytosis,5.81%
C0853149,Blood lactate dehydrogenase increased,5.81%
C0085682,Hypophosphataemia,5.74%
C0024141,Systemic lupus erythematosus,5.67%
C0030794,Pelvic pain,5.67%
C0085584,Encephalopathy,5.67%
C0235198,Cerebration impaired,5.67%
C0392386,Platelet count decreased,5.67%
C0005741,Blepharitis,5.60%
C0016655,Multiple fractures,5.60%
C0016658,Fracture,5.60%
C0020557,Hypertriglyceridaemia,5.60%
C0156404,Menstruation irregular,5.60%
C0162834,Skin hyperpigmentation,5.60%
C0011609,Drug eruption,5.52%
C0017565,Gingival bleeding,5.52%
C0024115,Lung disorder,5.52%
C0027066,Myoclonus,5.52%
C0035243,Respiratory tract infection,5.52%
C0333355,Mucosal inflammation,5.52%
C0595916,Nephropathy toxic,5.52%
C1609512,Vulvovaginal mycotic infection,5.52%
C0028081,Night sweats,5.45%
C0853813,Local reaction,5.45%
C0234632,Visual acuity reduced,5.38%
C2129214,Loose stools,5.38%
C0008325,Cholecystitis,5.31%
C0020488,Hypernatraemia,5.31%
C0085606,Micturition urgency,5.31%
C0426576,Gastrointestinal symptom NOS,5.31%
C0456909,Blindness,5.31%
C0151603,Generalised oedema,5.24%
C0151798,Hepatic necrosis,5.24%
C0392025,Enlargement abdomen,5.24%
C0037317,Sleep disturbance,5.16%
C0151610,Tongue oedema,5.16%
C0340726,Embolism venous,5.16%
C0549622,Sexual dysfunction,5.16%
C0700345,Vulvovaginal candidiasis,5.16%
C2242737,Anorectal discomfort,5.16%
C0239571,Foetor hepaticus,5.09%
C0007787,Transient ischaemic attack,5.02%
C0024312,Lymphopenia,5.02%
C0038358,Gastric ulcer,5.02%
C0438142,Urine analysis abnormal,5.02%
C2937358,Cerebral haemorrhage,5.02%
C0006852,Vaginal moniliasis,4.95%
C0018794,Block heart,4.95%
C0021141,Inappropriate antidiuretic hormone secretion,4.95%
C0032961,Pregnancy,4.95%
C0038663,Suicide attempt,4.95%
C0151576,Creatine phosphokinase increased,4.95%
C0152198,Accommodation disorder,4.95%
C0151883,Vesiculobullous rash,4.88%
C0700184,Throat irritation,4.88%
C0852733,Completed suicide,4.88%
C0013447,Ear disorder,4.81%
C0015732,Faecal incontinence,4.81%
C0234133,Extrapyramidal symptoms,4.81%
C0392156,Akathisia,4.81%
C0575090,Balance disorder,4.81%
C1257843,Pseudomembranous colitis,4.81%
C0020039,Hostility,4.73%
C0151754,Lactic dehydrogenase activity increased,4.73%
C1320474,Nuchal rigidity,4.73%
C0020672,Body temperature decreased,4.66%
C0026827,Hypotonia,4.66%
C0033117,Priapism,4.66%
C0413252,Hypothermia,4.66%
C0558489,Renal pain,4.66%
C0595877,Blood glucose increased,4.66%
C0006384,Bundle branch block,4.59%
C0152029,Sinus congestion,4.59%
C0235639,Urine abnormality,4.59%
C0750394,White blood cell count decreased,4.59%
C0001122,Acidosis,4.52%
C0027726,Nephrotic syndrome,4.52%
C0032326,Pneumothorax,4.52%
C0152031,Joint swelling,4.52%
C0162835,Leukoderma,4.52%
C0242528,Azotaemia,4.52%
C0027121,Myositis,4.45%
C0034886,Proctalgia,4.45%
C0043251,Trauma,4.45%
C0151479,Amylase increased,4.45%
C0151692,Impaired healing,4.45%
C0234708,Intraocular pressure increased,4.45%
C1971624,Appetite absent,4.45%
C0006444,Bursitis,4.38%
C0022658,Nephropathy,4.38%
C0085610,Sinus bradycardia,4.38%
C0151746,Kidney function abnormal,4.38%
C0235896,Lung infiltration,4.38%
C0878544,Cardiomyopathy,4.38%
C1142135,Muscle relaxant therapy,4.38%
C1291077,Abdominal bloating,4.38%
C0011071,Sudden death,4.30%
C0015402,Eye haemorrhage,4.30%
C0026837,Muscle rigidity,4.30%
C0027849,Neuroleptic malignant syndrome,4.30%
C0033771,Prurigo,4.30%
C0034069,Pulmonary fibrosis,4.30%
C0085096,Peripheral vascular disorder,4.30%
C0151315,Neck stiffness,4.30%
C0151596,Tongue discolouration,4.30%
C0232292,Chest tightness,4.30%
C0242301,Furuncle,4.30%
C0014236,Endophthalmitis,4.23%
C0162285,Eyelid oedema,4.23%
C0687707,Anorectal disorder,4.23%
C0917798,Cerebral ischaemia,4.23%
C0001339,Pancreatitis acute,4.16%
C0009241,Cognitive disorder,4.16%
C0023533,Leukorrhea,4.16%
C0036830,Serum sickness,4.16%
C0038661,Suicide,4.16%
C0206061,Interstitial pneumonia,4.16%
C0234238,Ache,4.16%
C0521591,Paraesthesia oral,4.16%
C1291078,Epigastric discomfort,4.16%
C0019825,Hoarseness,4.09%
C0023222,Leg pain,4.09%
C0031046,Pericarditis,4.09%
C0150450,Altered state of consciousness,4.09%
C0151699,Haemorrhage intracranial,4.09%
C0151740,Intracranial pressure increased,4.09%
C0151889,Hyperreflexia,4.09%
C0152128,Drug withdrawal syndrome,4.09%
C0155169,Ocular hyperaemia,4.09%
C0332534,Induration,4.09%
C0521491,Application site pain,4.09%
C0877359,Raised liver function tests,4.09%
C0013295,Duodenal ulcer,4.02%
C0042790,Disorder sight,4.02%
C0854467,Myelosuppression,4.02%
C0034882,Rectal disorder,3.95%
C0038363,Aphthous stomatitis,3.95%
C0152030,Skin irritation,3.95%
C0277925,Peripheral coldness,3.95%
C0857305,Thrombocytopenic purpura,3.95%
C2973529,Leukocytoclastic vasculitis,3.95%
C0004623,Bacterial infection,3.87%
C0014743,Erythema nodosum,3.87%
C0022281,Eye pruritus,3.87%
C0022904,Lacrimal disorder,3.87%
C0232431,Cold sweat,3.87%
C1761613,Conjunctival hyperaemia,3.87%
C2981158,Loss of libido,3.87%
C0014544,Epilepsy,3.80%
C0014549,Grand mal convulsion,3.80%
C0038367,Ulcerative stomatitis,3.80%
C0151505,Application site reaction,3.80%
C0151872,Prothrombin level increased,3.80%
C0233571,Excitement,3.80%
C0235086,Muscle contractions involuntary,3.80%
C0497327,Dementia,3.80%
C0546817,Fluid overload,3.80%
C0699744,Ear infection,3.80%
C0744727,Haematocrit decreased,3.80%
C0019270,Hernia,3.73%
C0025289,Meningitis,3.73%
C0029118,Opportunistic infection,3.73%
C0152459,Skin striae,3.73%
C0232493,Epigastric pain,3.73%
C0236071,Throat tightness,3.73%
C0497365,Rash generalised,3.73%
C0919980,VIIth nerve paralysis,3.73%
C0011630,Fungal skin infection,3.66%
C0020555,Hypertrichosis,3.66%
C0031212,Personality disorder,3.66%
C0151205,Periorbital oedema,3.66%
C0151602,Swelling face,3.66%
C0151888,Hyporeflexia,3.66%
C0162297,Respiratory arrest,3.66%
C0242422,Parkinsonism,3.66%
C0344315,Depressed mood,3.66%
C0006142,Breast cancer,3.59%
C0007820,Cerebrovascular disorder,3.59%
C0016199,Flank pain,3.59%
C0020550,Hyperthyroidism,3.59%
C0030446,Ileus paralytic,3.59%
C0342579,Electrolyte imbalance,3.59%
C0016867,Furunculosis,3.52%
C0018932,Haematochezia,3.52%
C0029445,Osteonecrosis,3.52%
C0031039,Pericardial effusion,3.52%
C0033575,Prostatic disorder,3.52%
C0034642,Rales,3.52%
C0151514,Skin atrophy,3.52%
C0221201,Rash macular,3.52%
C0235234,Dry throat,3.52%
C0518988,Tooth abscess,3.52%
C1956346,Coronary artery disease,3.52%
C0007971,Cheilitis,3.44%
C0026205,Miosis,3.44%
C0033777,Pruritus genital,3.44%
C0151836,Paranoid reaction,3.44%
C0151970,Oesophageal ulcer,3.44%
C0221512,Stomach ache,3.44%
C0233477,Dysphoria,3.44%
C0234518,Slurred speech,3.44%
C0392699,Dysaesthesia,3.44%
C2242588,Traumatic liver injury,3.44%
C0011334,Dental caries,3.37%
C0021167,Incontinence,3.37%
C0149904,Hepatitis cholestatic,3.37%
C0232726,Rectal tenesmus,3.37%
C0333641,Atrophy,3.37%
C0428974,Arrhythmia supraventricular,3.37%
C0438215,Laboratory test abnormal,3.37%
C0003962,Ascites,3.30%
C0013182,Drug hypersensitivity,3.30%
C0035309,Retinal disorder,3.30%
C0039503,Tendonitis,3.30%
C0042345,Varicose vein,3.30%
C0087169,Withdrawal symptom,3.30%
C0152032,Urinary hesitation,3.30%
C0220981,Metabolic acidosis,3.30%
C0231919,Nasal dryness,3.30%
C0012739,Disseminated intravascular coagulation,3.23%
C0018021,Goitre,3.23%
C0022081,Iritis,3.23%
C0039239,Sinus tachycardia,3.23%
C0151772,Manic psychosis,3.23%
C0162820,Allergic contact dermatitis,3.23%
C0262397,Breast tenderness,3.23%
C0475858,Pruritus generalised,3.23%
C0476280,Musculoskeletal chest pain,3.23%
C0027697,Nephritis,3.16%
C0030353,Papilloedema,3.16%
C0034186,Pyelonephritis,3.16%
C0038587,Withdrawal syndrome,3.16%
C0040038,Thromboembolism,3.16%
C0151717,Skin hypertrophy,3.16%
C0151799,Skin necrosis,3.16%
C0221490,Epigastric distress,3.16%
C0232495,Abdominal pain lower,3.16%
C0234894,Dermatitis acneiform,3.16%
C0235032,Neurotoxicity,3.16%
C0235818,Bullous eruption,3.16%
C0409974,Lupus erythematosus,3.16%
C0427008,Stiffness,3.16%
C0600228,Cardio-respiratory arrest,3.16%
C0700361,Emotional distress,3.16%
C0853761,Blood potassium decreased,3.16%
C1519353,Rash papular,3.16%
C0000768,Congenital anomaly,3.08%
C0002884,Hypochromic anaemia,3.08%
C0004239,Atrial flutter,3.08%
C0022116,Ischaemia,3.08%
C0027932,Neurosis,3.08%
C0030552,Paresis,3.08%
C0036104,Salivation,3.08%
C0085614,Atrioventricular block first degree,3.08%
C0151734,Injection site inflammation,3.08%
C0235490,Peripheral ischaemia,3.08%
C0424605,Developmental delay,3.08%
C0595930,Blood cholesterol increased,3.08%
C0024299,Lymphoma,3.01%
C0024305,Non-Hodgkin's lymphoma,3.01%
C0231835,Tachypnoea,3.01%
C0241863,Diabetic,3.01%
C0857353,Hypotensive,3.01%
C0858797,Instillation site pain,3.01%
C0948349,Respiratory tract congestion,3.01%
C2697368,Gastrointestinal tract irritation,3.01%
C0018520,Breath odour,2.94%
C0018800,Cardiomegaly,2.94%
C0026857,Musculoskeletal disorder,2.94%
C0039520,Tenosynovitis,2.94%
C0151826,Retrosternal pain,2.94%
C0235969,Ejaculation disorder,2.94%
C0392676,Hyperpyrexia,2.94%
C0542184,Reaction gastrointestinal,2.94%
C0549209,Feeling jittery,2.94%
C0686347,Tardive dyskinesia,2.94%
C3203358,Hypoventilation,2.94%
C0020542,Pulmonary hypertension,2.87%
C0033036,Supraventricular extrasystoles,2.87%
C0033845,Benign intracranial hypertension,2.87%
C0034880,Hyperacusis,2.87%
C0042134,Uterine haemorrhage,2.87%
C0042487,Venous thrombosis,2.87%
C0043387,Yawning,2.87%
C0233514,Abnormal behaviour,2.87%
C0549567,Pigmentation disorder,2.87%
C2711227,Hepatic steatosis,2.87%
C0017672,Glossodynia,2.80%
C0021845,Intestinal perforation,2.80%
C0026113,Miliaria,2.80%
C0036973,Shivering,2.80%
C0085616,Vasospasm,2.80%
C0085637,Oculogyric crisis,2.80%
C0234987,Dizziness postural,2.80%
C0270996,Eye swelling,2.80%
C1320835,Drug fever,2.80%
C0007785,Cerebral infarction,2.73%
C0012797,Diuresis,2.73%
C0018808,Cardiac murmur,2.73%
C0034359,Pyuria,2.73%
C0037195,Sinus headache,2.73%
C0038450,Stridor,2.73%
C0042035,Micturition disorder,2.73%
C0042164,Uveitis,2.73%
